"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
9.14918023645148e-21,1.64361519245905,0.167,0.056,2.56158748260168e-16,"6","Prr5"
1.31890404152488e-20,2.28480532352693,0.127,0.037,3.69266753546137e-16,"6","Nfatc2"
1.52084026781096e-20,1.63880540077858,0.162,0.054,4.25804858181713e-16,"6","Ccdc102a"
1.65644343467561e-20,1.81547170447409,0.183,0.067,4.63771032840478e-16,"6","Nt5dc2"
1.78601238810719e-20,0.414652054091632,0.866,0.732,5.00047748422251e-16,"6","Col4a1"
2.04004358229385e-20,0.837482862673027,0.613,0.426,5.71171402170633e-16,"6","Nfic"
2.14983659723363e-20,0.533910427993944,0.791,0.617,6.01911250493472e-16,"6","Ctsb"
3.3647560326918e-20,1.03652091300395,0.148,0.046,9.42064394033051e-16,"6","Tspan18"
3.45061647769525e-20,0.370795802740402,0.878,0.735,9.66103601425117e-16,"6","Fkbp1a"
3.91498474468376e-20,2.2736665752208,0.134,0.041,1.09611742881656e-15,"6","Eno3"
4.69866731728861e-20,0.434536593589976,1,0.995,1.31553287549446e-15,"6","Jund"
5.11094534742925e-20,1.76437780384012,0.134,0.04,1.43096247837324e-15,"6","Ntrk3"
5.41439770184068e-20,1.19141632213144,0.195,0.072,1.51592306856135e-15,"6","Hip1"
5.87847504847929e-20,1.58790688530712,0.221,0.091,1.64585544407323e-15,"6","Bace2"
7.28798930587088e-20,1.46095068514773,0.268,0.12,2.04049124585773e-15,"6","Serpine1"
9.19434214279535e-20,1.23114649300469,0.211,0.082,2.57423191313984e-15,"6","Pcdh9"
9.49378437176451e-20,0.959088513255096,0.465,0.272,2.65806974840663e-15,"6","Fblim1"
1.19823775783166e-19,2.05630503809156,0.148,0.049,3.35482607437709e-15,"6","Atp6v0e2"
1.21965147824436e-19,0.280643246125231,1,1,3.41478020878855e-15,"6","Ubb"
1.2671272183192e-19,1.88110198520133,0.131,0.04,3.54770278585009e-15,"6","Cspg4"
1.51198193114216e-19,0.885348138029601,0.481,0.279,4.23324701081183e-15,"6","Ttc28"
1.75149160482387e-19,2.1528142063219,0.101,0.026,4.90382619518586e-15,"6","St6galnac6"
2.40841402600002e-19,0.33582081382798,0.939,0.83,6.74307758999485e-15,"6","B2m"
3.37450768145371e-19,0.57858317866516,0.873,0.745,9.4479466065341e-15,"6","Ahnak"
3.54030875687122e-19,2.31505827075495,0.622,0.456,9.91215645748804e-15,"6","Crip1"
3.98975083302327e-19,1.8474623842651,0.12,0.035,1.11705043822985e-14,"6","Prrg3"
4.55241958453914e-19,1.22091557449135,0.437,0.257,1.27458643527927e-14,"6","Slmap"
5.26305420168898e-19,1.74018540013766,0.143,0.046,1.47354991538888e-14,"6","Plekho1"
5.90327589264586e-19,2.04319659830516,0.117,0.034,1.65279918442299e-14,"6","Csf1"
6.25561171079793e-19,0.358178445561517,0.984,0.944,1.7514461667892e-14,"6","Dynll1"
9.70864724939479e-19,1.28416286430098,0.228,0.096,2.71822705688555e-14,"6","Cdkn2d"
1.05899948065493e-18,1.60763462386538,0.146,0.048,2.96498674593769e-14,"6","Rab31"
1.12460078939174e-18,0.776876265144729,0.627,0.422,3.148657290139e-14,"6","Zmiz1"
